rank,url_domain,unique_users
1,youtube.com,181300000000
2,amazon.com,134600000000
3,unicef.org,134400000000
4,gofundme.com,124800000000
5,twitter.com,116100000000
6,media1.tenor.co,115600000000
7,m.tiktok.com,110700000000
8,open.spotify.com,93000000000
9,playeralumniresources.com,89900000000
10,abcnews.go.com,88100000000
11,linktr.ee,87900000000
12,dailymail.co.uk,86500000000
13,docs.google.com,85800000000
14,etsy.com,85500000000
15,nbcnews.com,83100000000
16,cnn.com,82800000000
17,google.com,78600000000
18,eventbrite.com,78400000000
19,cbsnews.com,77100000000
20,vimeo.com,76900000000
