Domain,rank_fb,unique_users_fb
youtube.com,1,183800000
gofundme.com,2,132000000
amazon.com,3,131700000
media1.tenor.co,4,124700000
twitter.com,5,118800000
unicef.org,6,111100000
linktr.ee,7,102900000
tiktok.com,8,99400000
abcnews.go.com,9,98200000
cdc.gov,10,97800000
playeralumniresources.com,11,97200000
open.spotify.com,12,91900000
dailymail.co.uk,13,89600000
nypost.com,14,86100000
ranker.com,15,85600000
nbcnews.com,16,83600000
eventbrite.com,17,83400000
cnn.com,18,82800000
paypal.com,19,81300000
etsy.com,20,80900000
